playerId,scaled_offensive,scaled_defensive,scaled_hybrid
544643,89.14388677796126,82.69426076085126,84.03944684544346
146588,74.56008158807019,77.98089141878017,77.04839665914714
3671,79.15376497441657,76.70260216122306,76.58558028207034
64442,82.52210327114426,72.67115537035397,73.7062795014094
145787,71.45722602762189,71.31846082270955,72.88433819197098
512313,68.42068570591051,72.58003552859466,72.75065318476672
70114,72.07759262099302,71.61453293215395,72.38085730266324
8764,67.35553639653136,69.7165304776975,72.00231293731568
20635,71.58748570766006,69.90873100073104,71.47653792400294
49859,74.49678820374324,71.13047160702672,71.10292229812958
134373,74.42914538610209,73.29230588608807,70.82831613964781
370,64.85244759262395,69.73143699181588,70.63987161281344
236528,74.94818935489252,69.3141348124801,70.23020230470713
104129,70.80904446678515,69.40463298866571,69.72739647513127
106518,67.0923469629135,69.35717827850257,68.95644495450262
50805,65.22124296579683,65.88069280561595,68.69348450441016
545267,63.74074848097399,64.36937286536693,68.63455203265703
447187,64.1139664298728,66.08876370188202,68.3549091509223
3306,67.48874927221107,67.58145050811935,67.92219509846505
134502,71.2039709968011,69.20245935301344,67.87950202704602
104937,63.68671260588697,67.81452517291538,67.41409890084151
301381,67.96978538364321,68.35799965455358,67.32116375262903
281069,63.80318035780647,63.318204154057945,65.73295683475925
477871,64.62543483154919,64.53116885325502,65.54848889565882
134383,63.3091919099127,66.81511671737599,64.83039969004683
101773,61.04280493960855,64.60060931585546,63.89234168472274
73144,67.48725552845515,64.06321848241697,63.78029570312415
102629,59.14819812887229,64.41669110389878,63.560811753154894
8653,61.0554853382372,61.67055181774096,62.966540777571645
3305,60.81233413203847,63.6501160932925,62.894634678170476
404644,62.923526450873446,62.258661425583334,62.796199637560484
297957,64.24554060777774,61.81979382765489,62.718180655541424
345695,60.9973656807728,62.6520453691527,62.63590741543201
357578,64.83874659422611,59.510421850148504,62.52628545577531
288081,53.748614462509785,59.319522257758535,62.51813739913455
3309,60.84771416838199,61.09554550374797,62.4627572171641
631944,60.990489243056004,63.015362740053845,61.620787528458166
333618,65.9947339237678,59.82220201475897,61.530415322305906
93003,58.403106065180246,61.797607439121194,61.47603455415954
477211,60.96620230780525,62.475675261521566,61.330820980326145
366010,62.80349893543418,58.602407759885295,61.23830429819185
14687,61.47860037091449,58.65777809320241,61.21044510229435
365443,61.4899570545778,60.1359063548995,60.935127924303764
15952,59.97872085886021,59.78887450166875,60.55073661252383
352988,62.27763875148992,59.6920382398569,60.54711757148648
389618,59.157894165372404,61.03594534825733,60.28460373290777
236450,61.58754587930372,58.25206678752528,60.27155588855718
