playerId,scaled_off_playmaker,scaled_offensive,scaled_defensive,scaled_def_playmaker
14808,118.25556575856228,117.39097680197904,120.60478360155908,114.55954701186583
224593,86.78666295393393,106.5381305049653,111.35682464540764,107.92183951962083
21383,88.34971150696306,96.54005361583154,102.57137649482561,99.59698697030709
14723,89.92847690420263,93.25903297653612,102.1414631992322,100.92661898239683
135114,78.22888387136229,90.6509799731689,88.17081540630123,86.77596270606891
373410,71.32542491049425,88.87845446627553,83.51818922510212,80.33941387847652
364860,69.14944353296893,88.54187336407563,93.2210731935681,92.75814910137602
209091,76.90469722611071,86.37886218500701,94.21168422757462,94.7942611045667
56262,65.0675805474553,83.86175727741592,82.06644974739848,82.11855606314
101629,74.37624349320325,83.8513310733757,86.93959934261342,85.9181159328787
480145,70.70824543756977,83.04749132549951,83.22303900778554,83.88704379432001
21315,76.5721753436479,82.81858852152511,84.63410471990953,83.92270149111968
8287,82.61030241980268,82.2465964946932,82.8358204742166,80.91496276805165
69968,62.86490376536601,80.27074747776602,81.35915593120946,81.78091231475784
93018,77.61135187857928,80.1941119097406,85.42827805510765,85.91811715346611
589075,62.33459744525578,79.52988478014174,76.62582028775583,77.13725780694642
346195,69.92912576987308,79.2916587057082,76.93880524288048,76.29785519468881
103682,60.847521024492245,78.77927113446768,76.65264292200688,74.90614801788088
584031,56.69047294904916,77.89516239966903,75.33260383445679,75.90213709636411
49876,70.7226532337198,77.61070497206103,79.61684691205649,78.04904392015877
3346,55.432739468939985,77.08653237260503,77.79393622576674,78.0439561607808
466,65.83377920458665,76.7792973849058,77.52725838941129,79.02584413110252
405,67.84758193831173,75.78764844804226,77.18475164019624,77.71535447223471
38021,92.09619969578803,74.88014534832166,82.91059596777487,79.98396900799715
243588,80.94469989351434,71.53431120836787,80.73614794216522,78.51249756208914
265673,66.43765430772447,70.39758615369684,71.93394777989,69.33251381513566
25437,62.65905964825314,70.23736475597701,69.75914566077967,71.58640483486597
257800,72.79951098959995,69.84069462439487,64.72309855240235,63.78254761622523
263802,60.90957364885132,69.21024273496697,73.01837882670759,74.94896862808945
353833,88.50734541216738,67.37077039093562,60.081813709693435,57.97149749376467
54,77.9420794845984,67.28692979838355,69.68116413844925,67.4119015282222
378,58.504282604378886,67.25065776765474,68.66305531381325,71.18123767945939
7964,60.13132960025119,66.86779202224429,70.93105374570024,72.31764916538528
8246,69.6277071186045,66.41256160951154,59.579348551252636,59.676878445295266
361163,59.970978255294526,66.35721707355341,68.75230904190299,69.88737395780086
245293,53.688546434241836,65.7151139483442,62.140701880628995,62.91234918835437
286030,59.86735684307308,65.3253692319434,68.58487743712894,68.84068365660372
339789,77.9034471129179,65.2726540754091,64.97323064987404,66.10499723247531
25804,51.77685969638279,65.14846767309821,60.50166055569623,61.889569208254535
55990,52.51951809600516,65.01367851375392,64.78548918177361,66.64453718124331
625,53.25960413727798,64.43551211733627,68.9917846318338,72.57452015699157
367922,55.698232195455034,64.32670916502192,63.08559546367583,63.66054893541043
127537,56.83650050705901,64.11373685473166,73.96501308289304,75.88981731318603
93534,68.25778033443792,64.11190530667598,64.28348899801112,64.43065803713337
69404,57.75654862212006,63.89053115987099,62.271210234309486,63.421003072594445
137238,67.85506376581944,63.63976964190126,59.49525441027845,60.1622141273855
20496,44.72581850446151,63.280328023951796,59.395462858462444,60.3215168220574
61961,52.10383005163106,63.18808002092585,50.33373244130561,46.68253152495226
20820,79.69939190235009,62.58024468218978,57.27953850788146,55.1191032749664
599991,60.22675102698256,62.48569634461124,65.7845674341028,66.64051451994837
134997,49.2319122943386,62.44251585573606,66.68472348720988,68.43416001305687
285403,54.40008744003423,61.75025363571567,57.22579103595965,58.26240528668879
302292,61.81790985253171,61.5096063747412,65.40086652027483,68.82458264235706
346101,55.95353835981151,61.417511661120976,68.8944511732779,69.65059058686538
20443,63.520898205356666,60.79098730114832,71.90441645115554,71.03411897937336
3682,71.79512245087243,60.40762416814048,62.650111158784476,63.753121914453175
265865,61.429208455051786,60.36478404335139,56.55337660714109,55.921408348492974
118,78.71112719723442,59.37735060229638,44.74222419610424,45.15709171307502
237269,47.64301646437751,59.19298279228086,59.182584836213124,59.658320474914944
21171,59.038261559373126,58.751859074745305,69.88232263120445,71.26071507661567
15524,52.19471285155907,58.606181037087175,59.43970558404621,59.91898741258216
18772,45.537644736066916,58.560332070048325,61.849254388311785,64.87988574105005
379209,40.15352529768183,58.46322587864775,59.2812714440919,63.054340646687464
20404,48.23321437856847,58.44480260880132,61.74479963043101,63.07491124589497
209117,53.76528956262889,57.86018427677169,54.83342812016517,56.355727441864666
365707,43.53086704186696,57.50158282733436,61.21385173769039,62.062905940731426
25537,49.25372611975021,57.37070501327576,58.19194092434062,60.11883512255904
15188,42.64020078251481,57.215781691724885,60.043944941471125,64.27008728576456
360992,48.59786351717983,56.90336301229309,55.87563905536331,56.561610836449354
282804,54.90206130627471,56.771534699509566,57.68282163994601,59.207490313162786
9035,56.18906791084087,56.51600068853601,60.18162032916392,62.69682839984306
383,70.26314255016845,56.48401234034693,54.815779344454654,52.49524045930468
138548,54.82765029762553,56.47268288154255,60.60792352243774,63.07545773930978
836824,55.761539969362964,55.976181228643064,49.267335988221,47.02533408343868
660489,40.54412211155042,55.78026226920142,48.400676651838154,48.21533029428324
167641,39.607256639875835,55.31353715222814,57.030180299882346,58.99578168135641
105338,62.32389359783256,55.27173000978894,48.551346361400704,46.46142669477993
54380,46.93663750996576,55.20320464475442,64.12499271556197,63.31409639437321
165428,45.46167874104412,55.17643327838734,54.30594082291183,55.67988251572657
61988,42.06243347587308,55.174546121710726,51.512095345238514,51.445682718884974
